Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2018,2018,2018,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,380140,,380140,,167602,,,0
H5,2018,2018,2018,6,1,1,Import,191,Croatia,HRV,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,11522473,,,,3244782,,,6
H5,2018,2018,2018,6,1,2,Export,191,Croatia,HRV,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,9285162,,9285162,,3226325,,,0
H5,2018,2018,2018,4,0,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,5211633,,5211633,,1677250,,,6
H5,2018,2018,2018,4,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,10214878,,10214878,,4048672,,,0
H5,2018,2018,2018,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,304512,,304512,,311902,,,6
H5,2018,2018,2018,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,3025531,,3025531,,888563,,,0
H5,2018,2018,2018,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,1356733,,1356733,,346623,,,0
H5,2018,2018,2018,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,1036900,,1036900,,716012,,,0
H5,2018,2018,2018,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,1881154,,1881154,,496756,,,0
H5,2018,2018,2018,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,215949,,215949,,53072,,,0
H5,2018,2018,2018,6,1,1,Import,203,Czechia,CZE,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,1669234,,1669234,,521969,,,0
H5,2018,2018,2018,6,1,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,5936498,,5936498,,2391025,,,0
H5,2018,2018,2018,4,0,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,71615280,,71615280,,21092946,,,6
H5,2018,2018,2018,4,0,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,,55232799,,55232799,,18053128,,,6
H5,2018,2018,2018,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,13383962,,13383962,,7820106,,,0
H5,2018,2018,2018,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,,29378832,,29378832,,11655316,,,0
H5,2018,2018,2018,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,3435202,,3435202,,3371942,,,0
H5,2018,2018,2018,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,,3545478,,3545478,,1871018,,,0
H5,2018,2018,2018,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,23,,23,,1256,,,0
H5,2018,2018,2018,6,1,2,Export,208,Denmark,DNK,0,World,WLD,,,,,,,,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,,869380,,869380,,211464,,,0
H5,2018,2018,2018,6,1,1,Import,208,Denmark,DNK,0,World,WLD,,,,,,,,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,,54796093,,54796093,,9899640,,,6
