,Country,Lat,Lng
91,Jersey,49.214439,-2.13125
92,Jordan,30.585164,36.238414
93,Kenya,-0.023559,37.906193
94,Kiribati,-3.370417,-168.734039
95,"Korea, North",40.339852,127.510093
96,"Korea, South (Republic of Korea)",35.907757,127.766922
97,Kuwait,29.31166,47.481766
98,Latvia,56.879635,24.603189
99,Lebanon,33.854721,35.862285
100,Liberia,6.428055,-9.429499
101,Libya,26.3351,17.228331
102,Lithuania,55.169438,23.881275
103,Macao,22.198745,113.543873
104,Madagascar,-18.766947,46.869107
105,Malaysia,4.210484,101.975766
106,Maldives,3.202778,73.22068
107,Malta,35.937496,14.375416
108,Marshall Islands,7.131474,171.184478
109,Martinique,14.641528,-61.024174
110,Mauritania,21.00789,-10.940835
111,Mauritius,-20.348404,57.552152
112,Mexico,23.634501,-102.552784
113,Micronesia,7.425554,150.550812
114,Monaco,43.7384176,7.4246158
115,Montenegro,42.708678,19.37439
116,Montserrat,16.742498,-62.187366
117,Morocco,31.791702,-7.09262
118,Mozambique,-18.665695,35.529562
119,Namibia,-22.95764,18.49041
120,Nauru,-0.522778,166.931503
121,Netherlands,52.132633,5.291266
122,Netherlands Antilles,52.3763561,4.9245673
123,New Caledonia,-20.904305,165.618042
124,New Zealand,-40.900557,174.885971
125,Nicaragua,12.865416,-85.207229
126,Nigeria,9.081999,8.675277
127,Niue,-19.054445,-169.867233
128,Norfolk Island,-29.040835,167.954712
129,Northern Mariana Islands,15.0979,145.6739
130,Norway,60.472024,8.468946
131,Oman,21.4735329,55.975413
132,Pakistan,30.375321,69.345116
133,Palau,7.51498,134.58252
134,Palestine (Gaza Strip is only part on the coast),31.3546763,34.3088255
135,Panama,8.537981,-80.782127
136,Papua New Guinea,-6.314993,143.95555
137,Peru,-9.189967,-75.015152
138,Philippines,12.879721,121.774017
139,Poland,51.919438,19.145136
140,Portugal,39.399872,-8.224454
141,Puerto Rico,18.220833,-66.590149
142,Qatar,25.354826,51.183884
143,Reunion,-21.115141,55.536384
144,Romania,45.943161,24.96676
145,Russia,61.52401,105.318756
146,Saint Helena,-15.9650104,-5.7089241
147,Saint Kitts and Nevis,17.357822,-62.782998
148,Saint Lucia,13.909444,-60.978893
149,"Saint Maarten, DWI",18.04248,-63.05483
150,Saint Pierre,46.7758459,-56.1806363
151,Saint Vincent and the Grenadines,12.984305,-61.287228
152,Samoa,-13.759029,-172.104629
153,Sao Tome and Principe,0.18636,6.613081
154,Saudi Arabia,23.885942,45.079162
155,Senegal,14.497401,-14.452362
156,Seychelles,-4.679574,55.491977
157,Sierra Leone,8.460555,-11.779889
158,Singapore,1.352083,103.819836
159,Slovenia,46.151241,14.995463
160,Solomon Islands,-9.64571,160.156194
161,Somalia,5.152149,46.199616
162,South Africa,-30.559482,22.937506
163,Spain,40.463667,-3.74922
164,Sri Lanka,7.873054,80.771797
165,Sudan,12.862807,30.217636
166,Suriname,3.919305,-56.027783
167,Svalbard,77.8749725,20.9751821
168,Sweden,60.128161,18.643501
169,Syria,34.802075,38.996815
170,Taiwan,23.69781,120.960515
171,Tanzania,-6.369028,34.888822
172,Thailand,15.870032,100.992541
173,The Gambia,13.443182,-15.310139
174,Togo,8.619543,0.824782
175,Tokelau,-9.2002,-171.8484
176,Tonga,-21.178986,-175.198242
177,Trinidad and Tobago,10.691803,-61.222503
178,Tunisia,33.886917,9.537499
179,Turkey,38.963745,35.243322
180,Turks and Caicos Islands,21.694025,-71.797928
181,Tuvalu,-7.109535,177.64933
182,Ukraine,48.379433,31.1655799
183,United Arab Emirates,23.424076,53.847818
184,United Kingdom,55.378051,-3.435973
185,United States,37.09024,-95.712891
186,Uruguay,-32.522779,-55.765835
187,USVI,18.335765,-64.896335
188,Vanuatu,-15.376706,166.959158
189,Venezuela,6.42375,-66.58973
190,Vietnam,14.058324,108.277199
191,Yemen,15.552727,48.516388
192,,33.791638,-84.389488
193,,33.791638,-84.389488
194,,33.791638,-84.389488
195,,33.791638,-84.389488
196,,33.791638,-84.389488
197,,33.791638,-84.389488
198,,33.791638,-84.389488
199,,33.791638,-84.389488
200,,33.791638,-84.389488
201,,33.791638,-84.389488
