,Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes,Lat,Lng
33,Comoros,LI,938595.0,2.23,9.0,83.0,2.0,2093067.0,187329.0,155246.0,3747.0,0.17,58032.0,100870.0,-11.6455,43.3333
34,Congo Rep of,LMI,847807.0,0.53,13.0,77.0,2.0,449338.0,58189.0,44769.0,1164.0,0.05,16766.0,39853.0,-0.228021,15.827659
35,"Congo, Dem rep. of",LI,1076056.0,0.5,9.0,85.0,2.0,538028.0,48154.0,40703.0,963.0,0.04,15208.0,43480.0,-4.038333,21.758664
36,Cook Islands,UMI,20934.0,1.2,12.0,36.0,2.0,25121.0,3002.0,1079.0,60.0,0.05,416.0,784.0,-21.236736,-159.777671
37,Costa Rica,UMI,2479298.0,1.36,19.0,16.0,2.0,3371845.0,638965.0,102536.0,12779.0,0.05,42090.0,75895.0,9.748916999999999,-83.753428
38,Cote d'Ivoire,LMI,6230583.0,0.79,13.0,82.0,2.0,4922161.0,637420.0,520288.0,12748.0,0.09,194558.0,537163.0,7.539988999999999,-5.547079999999999
39,Croatia,HIC,1602782.0,2.1,12.0,9.0,2.0,3365842.0,402218.0,37053.0,8044.0,0.03,16461.0,19593.0,45.1,15.2000001
40,Cuba,UMI,11333471.0,0.81,11.0,23.0,2.0,9180112.0,1005222.0,228196.0,20104.0,0.02,90630.0,180454.0,21.521757,-77.781167
41,Curacao,HIC,143784.0,2.1,12.0,0.0,2.0,301946.0,36083.0,12.0,722.0,0.01,268.0,378.0,12.16957,-68.99002
42,Cyprus,HIC,840556.0,2.07,12.0,0.0,2.0,1739951.0,207924.0,831.0,4158.0,0.01,1821.0,2611.0,35.126413,33.429859
43,Denmark,HIC,5376386.0,2.34,2.0,0.0,2.0,12580743.0,245324.0,0.0,4906.0,0.00,1791.0,4233.0,56.26392,9.501785
44,Dhekelia,HIC,15700.0,2.1,12.0,0.0,2.0,32970.0,3940.0,2.0,79.0,0.01,30.0,42.0,34.5802786,32.9743145
45,Djibouti,LMI,621744.0,0.79,13.0,73.0,2.0,491178.0,63608.0,46191.0,1272.0,0.08,17324.0,45612.0,11.825138,42.590275
46,Dominica,UMI,70138.0,1.24,12.0,19.0,2.0,86971.0,10393.0,1938.0,208.0,0.03,783.0,1428.0,15.414999,-61.37097600000001
47,Dominican Republic,UMI,8232586.0,1.2,12.0,25.0,2.0,9879103.0,1180553.0,300295.0,23611.0,0.04,118226.0,228671.0,18.735693,-70.162651
48,East Timor,LMI,668749.0,0.79,13.0,81.0,2.0,528312.0,68416.0,55316.0,1368.0,0.09,20690.0,64205.0,-8.874217,125.727539
49,Ecuador,LMI,6400048.0,1.13,13.0,30.0,2.0,7232054.0,936551.0,280948.0,18731.0,0.05,109383.0,211021.0,-1.831239,-78.18340599999999
50,Egypt,LMI,21750943.0,1.37,13.0,67.0,2.0,29798792.0,3858944.0,2572170.0,77179.0,0.12,967012.0,1937428.0,26.820553,30.802498
51,El Salvador,LMI,6410726.0,1.13,13.0,33.0,2.0,7244120.0,938114.0,306531.0,18762.0,0.05,118732.0,226860.0,13.794185,-88.89653
52,Equatorial Guinea,UMI,351600.0,1.2,12.0,30.0,2.0,421920.0,50419.0,15367.0,1008.0,0.05,5977.0,14124.0,1.650801,10.267895
