,Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes,Lat,Lng
166,Suriname,UMI,402263.0,1.36,12.0,15.0,2.0,547078.0,65376.0,9493.0,1308.0,0.03,3942.0,6394.0,3.919305,-56.027783
167,Svalbard,LMI,2226.0,0.79,13.0,0.0,2.0,1759.0,228.0,0.0,5.0,0.00,2.0,4.0,77.8749725,20.9751821
168,Sweden,HIC,6202234.0,1.61,3.0,0.0,2.0,9985597.0,294575.0,0.0,5892.0,0.00,2150.0,5245.0,60.12816100000001,18.643501
169,Syria,LMI,3621997.0,1.37,13.0,65.0,2.0,4962136.0,642597.0,419763.0,12852.0,0.12,157904.0,304960.0,34.80207499999999,38.996815
170,Taiwan,HIC,22211567.0,2.1,12.0,0.0,2.0,46644291.0,5573993.0,13776.0,111480.0,0.01,45718.0,64631.0,23.69781,120.960515
171,Tanzania,LI,6688695.0,0.26,9.0,84.0,2.0,1739061.0,155646.0,129999.0,3113.0,0.02,48586.0,214196.0,-6.369028,34.888822
172,Thailand,UMI,26043442.0,1.2,12.0,73.0,2.0,31252130.0,3734630.0,2741031.0,74693.0,0.11,1027739.0,2179508.0,15.870032,100.992541
173,The Gambia,LI,1324214.0,0.53,9.0,84.0,2.0,701833.0,62814.0,52485.0,1256.0,0.04,19616.0,53498.0,13.443182,-15.310139
174,Togo,LI,1991642.0,0.52,11.0,84.0,2.0,1035654.0,113404.0,94721.0,2268.0,0.05,35401.0,96994.0,8.619543,0.824782
175,Tokelau,LMI,1379.0,0.79,13.0,82.0,2.0,1089.0,141.0,116.0,3.0,0.09,43.0,100.0,-9.200199999999999,-171.8484
176,Tonga,LMI,102872.0,3.71,6.0,78.0,2.0,381655.0,22708.0,17694.0,454.0,0.18,6624.0,10272.0,-21.178986,-175.198242
177,Trinidad and Tobago,HIC,1358433.0,14.4,25.0,3.0,2.0,19561435.0,4880578.0,160103.0,97612.0,0.19,94066.0,73512.0,10.691803,-61.222503
178,Tunisia,UMI,7274973.0,1.2,12.0,60.0,2.0,8729968.0,1043231.0,621077.0,20865.0,0.09,234309.0,440701.0,33.886917,9.537499
179,Turkey,UMI,34042862.0,1.77,12.0,16.0,2.0,60255866.0,7200576.0,1187323.0,144012.0,0.04,485937.0,790235.0,38.963745,35.243322
180,Turks and Caicos Islands,HIC,22570.0,2.1,12.0,0.0,2.0,47397.0,5664.0,22.0,113.0,0.01,49.0,70.0,21.694025,-71.797928
181,Tuvalu,UMI,11563.0,1.2,12.0,73.0,2.0,13876.0,1658.0,1218.0,33.0,0.11,457.0,861.0,-7.109534999999999,177.64933
182,Ukraine,LMI,6812799.0,0.79,13.0,49.0,2.0,5382111.0,696983.0,338841.0,13940.0,0.05,128765.0,233388.0,48.379433,31.1655799
183,United Arab Emirates,HIC,2018302.0,1.66,12.0,0.0,2.0,3350381.0,400371.0,256.0,8007.0,0.00,3016.0,5910.0,23.424076,53.847818
184,United Kingdom,HIC,43258889.0,1.79,12.0,0.0,2.0,77433411.0,9253293.0,0.0,185066.0,0.00,67549.0,94165.0,55.378051,-3.435973
185,United States,HIC,112925034.0,2.58,13.0,0.0,2.0,291346588.0,37729383.0,0.0,754588.0,0.01,275424.0,336819.0,37.09024,-95.712891
186,Uruguay,HIC,2433597.0,2.1,12.0,8.0,2.0,5110554.0,610711.0,46861.0,12214.0,0.02,21562.0,8037.0,-32.522779,-55.765835
187,USVI,HIC,134219.0,2.1,12.0,0.0,2.0,281860.0,33682.0,11.0,674.0,0.01,250.0,296.0,18.335765,-64.896335
188,Vanuatu,LMI,251851.0,3.28,9.0,81.0,2.0,826071.0,73933.0,60104.0,1479.0,0.25,22478.0,38006.0,-15.376706,166.959158
189,Venezuela,HIC,16094897.0,2.1,12.0,5.0,2.0,33799284.0,4039014.0,199585.0,80780.0,0.02,102333.0,154243.0,6.42375,-66.58973
190,Vietnam,LMI,55858245.0,0.79,13.0,86.0,2.0,44128014.0,5714578.0,4909870.0,114292.0,0.09,1833819.0,4172828.0,14.058324,108.277199
191,Yemen,LMI,6048920.0,0.79,13.0,73.0,2.0,4778647.0,618835.0,451134.0,12377.0,0.08,169181.0,513907.0,15.552727,48.516388
192,,,,,,,,,,,,Total,31865274.0,69143290.0,33.791638,-84.389488
193,,Notes:,,,,,,,,,,,,,33.791638,-84.389488
194,,1 - Based upon 2010 Gross National Income,,,,,,,,,,,,,33.791638,-84.389488
195,,2 - Based upon a 50 km coastal buffer created in GIS with global population densities24,,,,,,,,,,,,,33.791638,-84.389488
196,,"3 - Bold data were taken directly from World Bank estimates6,21",,,,,,,,,,,,,33.791638,-84.389488
197,,"4 - Bold data were taken directly from World Bank estimates6,21 ",,,,,,,,,,,,,33.791638,-84.389488
198,,5 - Using a model developed for this study (see Supplemental Information),,,,,,,,,,,,,33.791638,-84.389488
199,,6 - From U.S. national litter study22,,,,,,,,,,,,,33.791638,-84.389488
200,,7 - Calculated values,,,,,,,,,,,,,33.791638,-84.389488
201,,8 - Economic status changed from 2005 to 20106; waste generation rate and %plastic were assigned using average values for the 2010 economic category ,,,,,,,,,,,,,33.791638,-84.389488
