Country,Economic_status,Coastal_population,Waste_generation_rate_kg/person/day_All_Waste,%_Plastic_in_waste_stream,%_Inadequately_managed_waste,%_Littered_waste,Waste_generation_kg/day,Plastic_waste_generation_kg/day,Inadequately_managed_plastic_waste_kg/day,Plastic_waste_littered_[kg/day],Mismanaged_plastic_waste_kg/person/day,Mismanaged_plastic_waste_in_2010_tonnes,Mismanaged_plastic_waste_in_2025_tonnes
Haiti,LI,9155693.00,1.00,9.00,47.00,2.00,9155693.00,819435.00,387416.00,16389.00,0.04,147389.00,324178.00
Honduras,LMI,3324144.00,1.45,13.00,40.00,2.00,4820009.00,624191.00,249539.00,12484.00,0.08,95638.00,189169.00
Hong Kong,HIC,7573074.00,1.99,20.00,1.00,2.00,15070417.00,3006548.00,17983.00,60131.00,0.01,28512.00,37606.00
Iceland,HIC,292708.00,1.56,18.00,0.00,2.00,456624.00,81964.00,0.00,1639.00,0.01,598.00,883.00
India,LMI,187493433.00,0.34,3.00,85.00,2.00,63747767.00,1880559.00,1605729.00,37611.00,0.01,599819.00,2881294.00
Indonesia,LMI,187223476.00,0.52,11.00,81.00,2.00,97356208.00,10660505.00,8600093.00,213210.00,0.05,3216856.00,7415202.00
Iran,UMI,9099695.00,1.20,12.00,50.00,2.00,10919634.00,1304896.00,651717.00,26098.00,0.07,247403.00,460067.00
Iraq,LMI,639228.00,0.79,13.00,63.00,2.00,504990.00,65396.00,41330.00,1308.00,0.07,15563.00,47694.00
Ireland,HIC,3749576.00,3.58,12.00,0.00,2.00,13423482.00,1604106.00,0.00,32082.00,0.01,11710.00,14045.00
Isle of Man,HIC,81222.00,2.10,12.00,0.00,2.00,170566.00,20383.00,0.00,408.00,0.01,149.00,210.00
Israel,HIC,6677810.00,2.12,14.00,1.00,2.00,14156957.00,1974896.00,12577.00,39498.00,0.01,19007.00,28211.00
Italy,HIC,33822532.00,2.23,6.00,0.00,2.00,75424246.00,4487743.00,0.00,89755.00,0.00,32761.00,45058.00
Jamaica,UMI,2820558.00,0.18,19.00,27.00,2.00,507700.00,96209.00,25525.00,1924.00,0.01,10019.00,59575.00
Japan,HIC,115228891.00,1.71,10.00,0.00,2.00,197041404.00,19605620.00,0.00,392112.00,0.00,143121.00,177241.00
Jersey,HIC,90076.00,2.10,12.00,0.00,2.00,189160.00,22605.00,0.00,452.00,0.01,165.00,233.00
Jordan,UMI,55392.00,1.20,12.00,58.00,2.00,66470.00,7943.00,4600.00,159.00,0.09,1737.00,2975.00
Kenya,LI,2729945.00,0.30,9.00,83.00,2.00,818984.00,73299.00,60610.00,1466.00,0.02,22658.00,87109.00
Kiribati,LMI,94487.00,0.79,13.00,84.00,2.00,74645.00,9666.00,8148.00,193.00,0.09,3045.00,6977.00
"Korea, North",LI,17327483.00,0.60,9.00,88.00,2.00,10396490.00,930486.00,815165.00,18610.00,0.05,304328.00,610607.00
"Korea, South (Republic of Korea)",HIC,41654619.00,1.24,9.00,0.00,2.00,51651728.00,4622830.00,0.00,92457.00,0.00,33747.00,52764.00
Kuwait,HIC,2293604.00,5.72,12.00,0.00,2.00,13119415.00,1567770.00,122.00,31355.00,0.01,11489.00,13479.00
Latvia,UMI,1432078.00,1.03,12.00,14.00,2.00,1475040.00,176267.00,24651.00,3525.00,0.02,10284.00,16654.00
Lebanon,UMI,3890871.00,1.18,8.00,34.00,2.00,4591228.00,365003.00,123700.00,7300.00,0.03,47815.00,101852.00
Liberia,LI,2148271.00,0.60,14.00,84.00,2.00,1288963.00,179810.00,151822.00,3596.00,0.07,56728.00,142787.00
Libya,UMI,4050128.00,1.20,12.00,23.00,2.00,4860154.00,580788.00,132985.00,11616.00,0.04,52779.00,102577.00
Lithuania,UMI,443894.00,1.10,12.00,14.00,2.00,488283.00,58350.00,8364.00,1167.00,0.02,3479.00,5478.00
Macao,HIC,257911.00,1.47,25.00,0.00,2.00,379129.00,94593.00,22.00,1892.00,0.01,698.00,1146.00
Madagascar,LI,7062413.00,0.80,2.00,84.00,2.00,5649930.00,110174.00,92377.00,2203.00,0.01,34522.00,177625.00
Malaysia,UMI,22890252.00,1.52,13.00,55.00,2.00,34793183.00,4505717.00,2476510.00,90114.00,0.11,936818.00,1765977.00
Maldives,LMI,392567.00,2.48,13.00,66.00,2.00,973566.00,126077.00,83695.00,2522.00,0.22,31469.00,40143.00
Malta,HIC,404707.00,1.78,12.00,6.00,2.00,720378.00,86085.00,5456.00,1722.00,0.02,2620.00,3757.00
Marshall Islands,UMI,58086.00,1.20,16.00,77.00,2.00,69703.00,11118.00,8510.00,222.00,0.15,3187.00,5717.00
Martinique,HIC,402257.00,2.10,12.00,0.00,2.00,844740.00,100946.00,33.00,2019.00,0.01,749.00,955.00
Mauritania,LI,1005481.00,0.50,9.00,82.00,2.00,502741.00,44995.00,37056.00,900.00,0.04,13854.00,39754.00
Mauritius,UMI,1255952.00,2.30,10.00,51.00,2.00,2888690.00,287425.00,147817.00,5748.00,0.12,56051.00,73172.00
Mexico,UMI,22647771.00,1.24,7.00,12.00,2.00,28083236.00,1951785.00,238616.00,39036.00,0.01,101343.00,233393.00
Micronesia,LMI,154895.00,0.79,13.00,81.00,2.00,122367.00,15847.00,12818.00,317.00,0.09,4794.00,10699.00
Monaco,HIC,34050.00,2.10,12.00,0.00,2.00,71505.00,8545.00,0.00,171.00,0.01,62.00,88.00
Montenegro,UMI,260336.00,1.20,12.00,30.00,2.00,312403.00,37332.00,11353.00,747.00,0.05,4416.00,7244.00
Montserrat,UMI,5173.00,1.20,12.00,12.00,2.00,6208.00,742.00,89.00,15.00,0.02,38.00,71.00
Morocco,LMI,17303431.00,1.46,5.00,66.00,2.00,25263009.00,1250519.00,824650.00,25010.00,0.05,310126.00,706583.00
Mozambique,LI,9566559.00,0.14,11.00,84.00,2.00,1339318.00,146655.00,123081.00,2933.00,0.01,45995.00,287067.00
Namibia,UMI,155084.00,1.20,12.00,66.00,2.00,186101.00,22239.00,14570.00,445.00,0.10,5480.00,11340.00
Nauru,UMI,15289.00,1.20,12.00,67.00,2.00,18347.00,2192.00,1473.00,44.00,0.10,554.00,1043.00
Netherlands,HIC,8971770.00,2.12,20.00,0.00,2.00,19020152.00,3794520.00,0.00,75890.00,0.01,27700.00,32387.00
Netherlands Antilles,HIC,227165.00,2.10,12.00,0.00,2.00,477047.00,57007.00,0.00,1140.00,0.01,416.00,368.00
New Caledonia,HIC,257904.00,2.10,12.00,0.00,2.00,541598.00,64721.00,0.00,1294.00,0.01,472.00,702.00
New Zealand,HIC,3862054.00,3.68,9.00,0.00,2.00,14212359.00,1272006.00,0.00,25440.00,0.01,9286.00,11517.00
Nicaragua,LMI,3482653.00,1.10,13.00,45.00,2.00,3830918.00,496104.00,221353.00,9922.00,0.07,84415.00,169439.00
Nigeria,LMI,27477112.00,0.79,13.00,81.00,2.00,21706918.00,2811046.00,2276636.00,56221.00,0.09,851493.00,2481008.00
Niue,HIC,1799.00,2.10,12.00,0.00,2.00,3778.00,451.00,1.00,9.00,0.01,4.00,5.00
Norfolk Island,LMI,2156.00,0.79,13.00,82.00,2.00,1703.00,221.00,182.00,4.00,0.09,68.00,156.00
Northern Mariana Islands,HIC,106256.00,2.10,12.00,0.00,2.00,223138.00,26665.00,66.00,533.00,0.01,219.00,309.00
Norway,HIC,4131679.00,2.80,10.00,0.00,2.00,11568701.00,1151086.00,0.00,23022.00,0.01,8403.00,9798.00
Oman,HIC,2597556.00,0.70,12.00,4.00,2.00,1818289.00,217286.00,8416.00,4346.00,0.01,4658.00,11774.00
Pakistan,LMI,14581952.00,0.79,13.00,86.00,2.00,11519742.00,1491807.00,1286583.00,29836.00,0.09,480493.00,1221460.00
Palau,UMI,23446.00,1.20,12.00,56.00,2.00,28135.00,3362.00,1895.00,67.00,0.08,716.00,1350.00
Palestine (Gaza Strip is only part on the coast),LMI,3045258.00,0.79,8.00,6.00,2.00,2405754.00,191257.00,11515.00,3825.00,0.01,5599.00,18676.00
Panama,UMI,3249531.00,1.21,12.00,18.00,2.00,3931933.00,469866.00,84815.00,9397.00,0.03,34388.00,70759.00
Papua New Guinea,LMI,2747514.00,0.79,13.00,86.00,2.00,2170536.00,281084.00,240502.00,5622.00,0.09,89835.00,242328.00
Peru,UMI,13765608.00,1.20,12.00,25.00,2.00,16518730.00,1973988.00,493267.00,39480.00,0.04,194453.00,377111.00
Philippines,LMI,83446862.00,0.50,15.00,81.00,2.00,41723431.00,6237653.00,5035956.00,124753.00,0.06,1883659.00,5088394.00
Poland,UMI,3272933.00,0.88,11.00,12.00,2.00,2880181.00,315380.00,36715.00,6308.00,0.01,15703.00,26855.00
Portugal,HIC,8507951.00,2.21,12.00,0.00,2.00,18802572.00,2246907.00,0.00,44938.00,0.01,16402.00,19382.00
Puerto Rico,HIC,4249848.00,2.10,12.00,2.00,2.00,8924681.00,1066499.00,23923.00,21330.00,0.01,16517.00,20481.00
Qatar,HIC,653007.00,1.33,12.00,0.00,2.00,868499.00,103786.00,0.00,2076.00,0.00,758.00,1560.00
Reunion,UMI,809426.00,1.20,12.00,0.00,2.00,971311.00,116072.00,0.00,2321.00,0.00,847.00,1615.00
Romania,UMI,875170.00,1.04,4.00,26.00,2.00,910177.00,35952.00,9172.00,719.00,0.01,3610.00,8261.00
Russia,UMI,10812537.00,0.93,12.00,16.00,2.00,10055659.00,1201651.00,197226.00,24033.00,0.02,80759.00,128946.00
Saint Helena,UMI,6839.00,1.20,12.00,25.00,2.00,8207.00,981.00,244.00,20.00,0.04,96.00,182.00
Saint Kitts and Nevis,UMI,36102.00,5.45,12.00,6.00,2.00,196756.00,23512.00,1489.00,470.00,0.05,715.00,742.00
Saint Lucia,UMI,163227.00,4.35,12.00,20.00,2.00,710037.00,84849.00,16683.00,1697.00,0.11,6709.00,8610.00
"Saint Maarten, DWI",HIC,37429.00,2.10,12.00,0.00,2.00,78601.00,9393.00,3.00,188.00,0.01,70.00,98.00
Saint Pierre,HIC,5888.00,2.10,12.00,0.00,2.00,12365.00,1478.00,0.00,30.00,0.01,11.00,15.00
Saint Vincent and the Grenadines,UMI,120149.00,1.70,13.00,21.00,2.00,204253.00,26451.00,5621.00,529.00,0.05,2245.00,2996.00
Samoa,LMI,168025.00,0.79,13.00,80.00,2.00,132740.00,17190.00,13688.00,344.00,0.08,5122.00,10989.00
Sao Tome and Principe,LMI,163740.00,0.79,13.00,81.00,2.00,129355.00,16751.00,13587.00,335.00,0.09,5081.00,13309.00
Saudi Arabia,HIC,3593471.00,1.30,12.00,8.00,2.00,4671512.00,558246.00,45142.00,11165.00,0.02,20552.00,43855.00
Senegal,LMI,8125063.00,0.79,13.00,82.00,2.00,6418800.00,831235.00,681376.00,16625.00,0.09,254770.00,738264.00
Seychelles,UMI,91361.00,2.98,12.00,37.00,2.00,272256.00,32535.00,12005.00,651.00,0.14,4619.00,5478.00
Sierra Leone,LI,2887017.00,0.45,9.00,84.00,2.00,1299158.00,116275.00,97423.00,2325.00,0.04,36408.00,121312.00
Singapore,HIC,4492494.00,1.49,13.00,0.00,2.00,6693816.00,866849.00,393.00,17337.00,0.00,6472.00,10878.00
Slovenia,HIC,336594.00,1.21,12.00,1.00,2.00,407279.00,48670.00,550.00,973.00,0.01,556.00,985.00
Solomon Islands,LMI,618678.00,0.79,13.00,86.00,2.00,488756.00,63294.00,54608.00,1266.00,0.09,20394.00,176589.00
Somalia,LI,5971169.00,0.60,9.00,85.00,2.00,3582701.00,320652.00,271753.00,6413.00,0.05,101531.00,289601.00
South Africa,UMI,12899201.00,2.00,12.00,54.00,2.00,25798402.00,3082909.00,1664382.00,61658.00,0.13,630005.00,836279.00
Spain,HIC,22771488.00,2.13,13.00,0.00,2.00,48503269.00,6281173.00,0.00,125623.00,0.01,45853.00,58932.00
Sri Lanka,LMI,14568174.00,5.10,7.00,82.00,2.00,74297687.00,5163689.00,4256120.00,103274.00,0.30,1591179.00,1918670.00
Sudan,LMI,752529.00,0.79,13.00,80.00,2.00,594498.00,76987.00,61277.00,1540.00,0.08,22928.00,52061.00
Suriname,UMI,402263.00,1.36,12.00,15.00,2.00,547078.00,65376.00,9493.00,1308.00,0.03,3942.00,6394.00
Svalbard,LMI,2226.00,0.79,13.00,0.00,2.00,1759.00,228.00,0.00,5.00,0.00,2.00,4.00
Sweden,HIC,6202234.00,1.61,3.00,0.00,2.00,9985597.00,294575.00,0.00,5892.00,0.00,2150.00,5245.00
Syria,LMI,3621997.00,1.37,13.00,65.00,2.00,4962136.00,642597.00,419763.00,12852.00,0.12,157904.00,304960.00
Taiwan,HIC,22211567.00,2.10,12.00,0.00,2.00,46644291.00,5573993.00,13776.00,111480.00,0.01,45718.00,64631.00
Tanzania,LI,6688695.00,0.26,9.00,84.00,2.00,1739061.00,155646.00,129999.00,3113.00,0.02,48586.00,214196.00
Thailand,UMI,26043442.00,1.20,12.00,73.00,2.00,31252130.00,3734630.00,2741031.00,74693.00,0.11,1027739.00,2179508.00
The Gambia,LI,1324214.00,0.53,9.00,84.00,2.00,701833.00,62814.00,52485.00,1256.00,0.04,19616.00,53498.00
Togo,LI,1991642.00,0.52,11.00,84.00,2.00,1035654.00,113404.00,94721.00,2268.00,0.05,35401.00,96994.00
Tokelau,LMI,1379.00,0.79,13.00,82.00,2.00,1089.00,141.00,116.00,3.00,0.09,43.00,100.00
Tonga,LMI,102872.00,3.71,6.00,78.00,2.00,381655.00,22708.00,17694.00,454.00,0.18,6624.00,10272.00
Trinidad and Tobago,HIC,1358433.00,14.40,25.00,3.00,2.00,19561435.00,4880578.00,160103.00,97612.00,0.19,94066.00,73512.00
Tunisia,UMI,7274973.00,1.20,12.00,60.00,2.00,8729968.00,1043231.00,621077.00,20865.00,0.09,234309.00,440701.00
Turkey,UMI,34042862.00,1.77,12.00,16.00,2.00,60255866.00,7200576.00,1187323.00,144012.00,0.04,485937.00,790235.00
Turks and Caicos Islands,HIC,22570.00,2.10,12.00,0.00,2.00,47397.00,5664.00,22.00,113.00,0.01,49.00,70.00
Tuvalu,UMI,11563.00,1.20,12.00,73.00,2.00,13876.00,1658.00,1218.00,33.00,0.11,457.00,861.00
