Classification,Year,Period,Period_desc.,Aggregate Level,Trade_flow,Reporter_code,Reporter,Reporter_ISO,Partner_code,Commodity_code,Commodity,Qty_unit_code,Qty_unit,Qty,Alt_qty_unit,Netweight_kg,Trade_value_usd
H5,2018,2018,2018,6,Re-Import,124,Canada,CAN,0,391510,"Ethylene polymers; waste, parings and scrap",8,Weight in kilograms,,41150,41150,11815
H5,2018,2018,2018,6,Import,124,Canada,CAN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,8982320,8982320,10048512
H5,2018,2018,2018,6,Export,124,Canada,CAN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,1398517,1398517,1102255
H5,2018,2018,2018,6,Re-Export,124,Canada,CAN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,13405,13405,4002
H5,2018,2018,2018,6,Re-Import,124,Canada,CAN,0,391520,"Styrene polymers; waste, parings and scrap",8,Weight in kilograms,,1668,1668,516
H5,2018,2018,2018,6,Import,124,Canada,CAN,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,4050241,4050241,1747831
H5,2018,2018,2018,6,Export,124,Canada,CAN,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,9916052,9916052,3594514
H5,2018,2018,2018,6,Re-Import,124,Canada,CAN,0,391530,"Vinyl chloride polymers; waste, parings and scrap",8,Weight in kilograms,,18359,18359,12084
H5,2018,2018,2018,6,Import,124,Canada,CAN,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,96421663,96421663,47356410
H5,2018,2018,2018,6,Export,124,Canada,CAN,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,101866901,101866901,45493229
H5,2018,2018,2018,6,Re-Export,124,Canada,CAN,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,813461,813461,558829
H5,2018,2018,2018,6,Re-Import,124,Canada,CAN,0,391590,"Plastics n.e.c. in heading no. 3915; waste, parings and scrap",8,Weight in kilograms,,251946,251946,61260
H5,2018,2018,2018,4,Import,152,Chile,CHL,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,7746473,7746473,6638554
H5,2018,2018,2018,4,Export,152,Chile,CHL,0,3915,"Waste, parings and scrap, of plastics",8,Weight in kilograms,,9102029,9102029,3317187
