,Country,%Managed_plastic_waste_kg/day,%Mismanaged_plastic_waste_kg/day
71,Guam,0.9775290284855066,0.02247097151449336
72,Guatemala,0.6241777042686718,0.3758222957313282
73,Guernsey,0.9799660201047713,0.020033979895228655
74,Guinea,0.14456287101996762,0.8554371289800324
75,Guinea-Bissau,0.14521772639691716,0.8547822736030829
76,Guyana,0.6158301673888804,0.38416983261111964
77,Haiti,0.507215337397109,0.492784662602891
78,Honduras,0.5802198365564386,0.41978016344356134
79,Hong Kong,0.9740187084989164,0.025981291501083636
80,Iceland,0.9800034161339124,0.01999658386608755
81,India,0.12614281179160025,0.8738571882083997
82,Indonesia,0.1732752810490685,0.8267247189509315
83,Iran,0.4805601365932611,0.519439863406739
84,Iraq,0.3480029359593859,0.6519970640406141
85,Ireland,0.9800000748080239,0.019999925191976093
86,Isle of Man,0.9799833194328608,0.020016680567139282
87,Israel,0.9736315228751287,0.026368477124871385
88,Italy,0.9799999688039177,0.020000031196082308
89,Jamaica,0.7146940514920641,0.28530594850793584
90,Japan,0.9800000204023133,0.019999979597686787
91,Jersey,0.9800044238000443,0.01999557619995576
92,Jordan,0.40085609971043684,0.5991439002895631
93,Kenya,0.15311259362337823,0.8468874063766217
94,Kiribati,0.13707841920132424,0.8629215807986758
95,"Korea, North",0.10393600763471993,0.8960639923652801
96,"Korea, South (Republic of Korea)",0.9799999134729159,0.020000086527084057
97,Kuwait,0.9799224376024545,0.02007756239754556
98,Latvia,0.8401515882156048,0.15984841178439527
99,Lebanon,0.6410988402835045,0.3589011597164955
100,Liberia,0.13565430176297202,0.864345698237028
101,Libya,0.7510261920012121,0.24897380799878785
102,Lithuania,0.8366580976863753,0.16334190231362467
103,Macao,0.9797659446259237,0.020234055374076305
104,Madagascar,0.14153974621961624,0.8584602537803837
105,Malaysia,0.4303628035227246,0.5696371964772754
106,Maldives,0.3161559999048201,0.68384400009518
107,Malta,0.9166172968577568,0.08338270314224314
108,Marshall Islands,0.21460694369490915,0.7853930563050908
109,Martinique,0.9796723000416064,0.0203276999583936
110,Mauritania,0.15643960440048893,0.843560395599511
111,Mauritius,0.4657214925632774,0.5342785074367227
112,Mexico,0.8577445773996624,0.14225542260033763
113,Micronesia,0.17113649271155423,0.8288635072884457
114,Monaco,0.9799882972498537,0.020011702750146285
115,Montenegro,0.6758812814743383,0.32411871852566165
116,Montserrat,0.8598382749326146,0.14016172506738545
117,Morocco,0.3205541059352157,0.6794458940647843
118,Mozambique,0.1407452865568852,0.8592547134431148
119,Namibia,0.32483474976392823,0.6751652502360718
120,Nauru,0.3079379562043796,0.6920620437956204
121,Netherlands,0.9800001054151777,0.019999894584822323
